Name	Value	Time
txRejected-average	0	2019-10-20T13:43:37.358Z
txRejected-total	0	2019-10-20T13:43:37.358Z
txExpired-average	0	2019-10-20T13:43:37.358Z
txExpired-total	0	2019-10-20T13:43:37.358Z
queueLength-average	0	2019-10-20T13:43:37.358Z
queueLength-value	0	2019-10-20T13:43:37.358Z
serverLoad-average	0	2019-10-20T13:43:37.358Z
serverLoad-value	0	2019-10-20T13:43:37.358Z
txTimeInQueue-average	0	2019-10-20T13:43:37.358Z
txInjected-average	0	2019-10-20T13:43:38.359Z
txInjected-total	0	2019-10-20T13:43:38.359Z
txApplied-average	0	2019-10-20T13:43:38.359Z
txApplied-total	0	2019-10-20T13:43:38.359Z
txRejected-average	0	2019-10-20T13:43:38.359Z
txRejected-total	0	2019-10-20T13:43:38.359Z
txExpired-average	0	2019-10-20T13:43:38.359Z
txExpired-total	0	2019-10-20T13:43:38.359Z
queueLength-average	0	2019-10-20T13:43:38.359Z
queueLength-value	0	2019-10-20T13:43:38.359Z
serverLoad-average	0	2019-10-20T13:43:38.359Z
serverLoad-value	0	2019-10-20T13:43:38.359Z
txTimeInQueue-average	0	2019-10-20T13:43:38.359Z
txInjected-average	0	2019-10-20T13:43:39.359Z
txInjected-total	0	2019-10-20T13:43:39.359Z
txApplied-average	0	2019-10-20T13:43:39.359Z
txApplied-total	0	2019-10-20T13:43:39.359Z
txRejected-average	0	2019-10-20T13:43:39.359Z
txRejected-total	0	2019-10-20T13:43:39.359Z
txExpired-average	0	2019-10-20T13:43:39.359Z
txExpired-total	0	2019-10-20T13:43:39.359Z
queueLength-average	0	2019-10-20T13:43:39.359Z
queueLength-value	0	2019-10-20T13:43:39.359Z
serverLoad-average	0	2019-10-20T13:43:39.359Z
serverLoad-value	0	2019-10-20T13:43:39.359Z
txTimeInQueue-average	0	2019-10-20T13:43:39.359Z
txInjected-average	0	2019-10-20T13:43:40.361Z
txInjected-total	0	2019-10-20T13:43:40.361Z
txApplied-average	0	2019-10-20T13:43:40.361Z
txApplied-total	0	2019-10-20T13:43:40.361Z
txRejected-average	0	2019-10-20T13:43:40.361Z
txRejected-total	0	2019-10-20T13:43:40.361Z
txExpired-average	0	2019-10-20T13:43:40.361Z
txExpired-total	0	2019-10-20T13:43:40.361Z
queueLength-average	0	2019-10-20T13:43:40.361Z
queueLength-value	0	2019-10-20T13:43:40.361Z
serverLoad-average	0	2019-10-20T13:43:40.361Z
serverLoad-value	0	2019-10-20T13:43:40.361Z
txTimeInQueue-average	0	2019-10-20T13:43:40.361Z
txInjected-average	0	2019-10-20T13:43:41.366Z
txInjected-total	0	2019-10-20T13:43:41.366Z
txApplied-average	0	2019-10-20T13:43:41.366Z
txApplied-total	0	2019-10-20T13:43:41.366Z
txRejected-average	0	2019-10-20T13:43:41.366Z
txRejected-total	0	2019-10-20T13:43:41.366Z
txExpired-average	0	2019-10-20T13:43:41.366Z
