Name	Value	Time
queueLength-value	0	2019-10-19T22:22:33.372Z
serverLoad-average	0	2019-10-19T22:22:33.372Z
serverLoad-value	0	2019-10-19T22:22:33.372Z
txTimeInQueue-average	0	2019-10-19T22:22:33.372Z
txInjected-average	0	2019-10-19T22:22:34.375Z
txInjected-total	0	2019-10-19T22:22:34.375Z
txApplied-average	0	2019-10-19T22:22:34.375Z
txApplied-total	0	2019-10-19T22:22:34.375Z
txRejected-average	0	2019-10-19T22:22:34.375Z
txRejected-total	0	2019-10-19T22:22:34.375Z
txExpired-average	0	2019-10-19T22:22:34.375Z
txExpired-total	0	2019-10-19T22:22:34.375Z
queueLength-average	0	2019-10-19T22:22:34.375Z
queueLength-value	0	2019-10-19T22:22:34.375Z
serverLoad-average	0	2019-10-19T22:22:34.375Z
serverLoad-value	0	2019-10-19T22:22:34.375Z
txTimeInQueue-average	0	2019-10-19T22:22:34.375Z
txInjected-average	0	2019-10-19T22:22:35.375Z
txInjected-total	0	2019-10-19T22:22:35.375Z
txApplied-average	0	2019-10-19T22:22:35.375Z
txApplied-total	0	2019-10-19T22:22:35.375Z
txRejected-average	0	2019-10-19T22:22:35.375Z
txRejected-total	0	2019-10-19T22:22:35.375Z
txExpired-average	0	2019-10-19T22:22:35.375Z
txExpired-total	0	2019-10-19T22:22:35.375Z
queueLength-average	0	2019-10-19T22:22:35.375Z
queueLength-value	0	2019-10-19T22:22:35.375Z
serverLoad-average	0	2019-10-19T22:22:35.375Z
serverLoad-value	0	2019-10-19T22:22:35.375Z
txTimeInQueue-average	0	2019-10-19T22:22:35.375Z
txInjected-average	0	2019-10-19T22:22:36.378Z
txInjected-total	0	2019-10-19T22:22:36.378Z
txApplied-average	0	2019-10-19T22:22:36.378Z
txApplied-total	0	2019-10-19T22:22:36.378Z
txRejected-average	0	2019-10-19T22:22:36.378Z
txRejected-total	0	2019-10-19T22:22:36.378Z
txExpired-average	0	2019-10-19T22:22:36.378Z
txExpired-total	0	2019-10-19T22:22:36.378Z
queueLength-average	0	2019-10-19T22:22:36.378Z
queueLength-value	0	2019-10-19T22:22:36.378Z
serverLoad-average	0	2019-10-19T22:22:36.378Z
serverLoad-value	0	2019-10-19T22:22:36.378Z
txTimeInQueue-average	0	2019-10-19T22:22:36.378Z
txInjected-average	0	2019-10-19T22:22:37.380Z
txInjected-total	0	2019-10-19T22:22:37.380Z
txApplied-average	0	2019-10-19T22:22:37.380Z
txApplied-total	0	2019-10-19T22:22:37.380Z
txRejected-average	0	2019-10-19T22:22:37.380Z
txRejected-total	0	2019-10-19T22:22:37.380Z
txExpired-average	0	2019-10-19T22:22:37.380Z
txExpired-total	0	2019-10-19T22:22:37.380Z
queueLength-average	0	2019-10-19T22:22:37.380Z
queueLength-value	0	2019-10-19T22:22:37.380Z
serverLoad-average	0	2019-10-19T22:22:37.380Z
serverLoad-value	0	2019-10-19T22:22:37.380Z
txTimeInQueue-average	0	2019-10-19T22:22:37.380Z
txInjected-average	0	2019-10-19T22:22:38.382Z
txInjected-total	0	2019-10-19T22:22:38.382Z
txApplied-average	0	2019-10-19T22:22:38.382Z
txApplied-total	0	2019-10-19T22:22:38.382Z
txRejected-average	0	2019-10-19T22:22:38.382Z
txRejected-total	0	2019-10-19T22:22:38.382Z
txExpired-average	0	2019-10-19T22:22:38.382Z
txExpired-total	0	2019-10-19T22:22:38.382Z
queueLength-average	0	2019-10-19T22:22:38.382Z
queueLength-value	0	2019-10-19T22:22:38.382Z
serverLoad-average	0	2019-10-19T22:22:38.382Z
serverLoad-value	0	2019-10-19T22:22:38.382Z
txTimeInQueue-average	0	2019-10-19T22:22:38.382Z
txInjected-average	0	2019-10-19T22:22:39.383Z
txInjected-total	0	2019-10-19T22:22:39.383Z
txApplied-average	0	2019-10-19T22:22:39.383Z
txApplied-total	0	2019-10-19T22:22:39.383Z
txRejected-average	0	2019-10-19T22:22:39.383Z
txRejected-total	0	2019-10-19T22:22:39.383Z
txExpired-average	0	2019-10-19T22:22:39.383Z
txExpired-total	0	2019-10-19T22:22:39.383Z
queueLength-average	0	2019-10-19T22:22:39.383Z
queueLength-value	0	2019-10-19T22:22:39.383Z
serverLoad-average	0	2019-10-19T22:22:39.383Z
serverLoad-value	0	2019-10-19T22:22:39.383Z
txTimeInQueue-average	0	2019-10-19T22:22:39.383Z
txInjected-average	0	2019-10-19T22:22:40.384Z
txInjected-total	0	2019-10-19T22:22:40.384Z
txApplied-average	0	2019-10-19T22:22:40.384Z
txApplied-total	0	2019-10-19T22:22:40.384Z
txRejected-average	0	2019-10-19T22:22:40.384Z
txRejected-total	0	2019-10-19T22:22:40.384Z
txExpired-average	0	2019-10-19T22:22:40.384Z
txExpired-total	0	2019-10-19T22:22:40.384Z
queueLength-average	0	2019-10-19T22:22:40.384Z
queueLength-value	0	2019-10-19T22:22:40.384Z
serverLoad-average	0	2019-10-19T22:22:40.384Z
serverLoad-value	0	2019-10-19T22:22:40.384Z
txTimeInQueue-average	0	2019-10-19T22:22:40.384Z
txInjected-average	0	2019-10-19T22:22:41.383Z
txInjected-total	0	2019-10-19T22:22:41.383Z
txApplied-average	0	2019-10-19T22:22:41.383Z
txApplied-total	0	2019-10-19T22:22:41.383Z
txRejected-average	0	2019-10-19T22:22:41.383Z
txRejected-total	0	2019-10-19T22:22:41.383Z
txExpired-average	0	2019-10-19T22:22:41.383Z
txExpired-total	0	2019-10-19T22:22:41.383Z
queueLength-average	0	2019-10-19T22:22:41.383Z
queueLength-value	0	2019-10-19T22:22:41.383Z
serverLoad-average	0	2019-10-19T22:22:41.383Z
serverLoad-value	0	2019-10-19T22:22:41.383Z
txTimeInQueue-average	0	2019-10-19T22:22:41.383Z
txInjected-average	0	2019-10-19T22:22:42.387Z
txInjected-total	0	2019-10-19T22:22:42.387Z
txApplied-average	0	2019-10-19T22:22:42.387Z
txApplied-total	0	2019-10-19T22:22:42.387Z
txRejected-average	0	2019-10-19T22:22:42.387Z
txRejected-total	0	2019-10-19T22:22:42.387Z
txExpired-average	0	2019-10-19T22:22:42.387Z
txExpired-total	0	2019-10-19T22:22:42.387Z
queueLength-average	0	2019-10-19T22:22:42.387Z
queueLength-value	0	2019-10-19T22:22:42.387Z
serverLoad-average	0	2019-10-19T22:22:42.387Z
serverLoad-value	0	2019-10-19T22:22:42.387Z
txTimeInQueue-average	0	2019-10-19T22:22:42.387Z
txInjected-average	0	2019-10-19T22:22:43.391Z
txInjected-total	0	2019-10-19T22:22:43.391Z
txApplied-average	0	2019-10-19T22:22:43.391Z
txApplied-total	0	2019-10-19T22:22:43.391Z
txRejected-average	0	2019-10-19T22:22:43.391Z
txRejected-total	0	2019-10-19T22:22:43.391Z
txExpired-average	0	2019-10-19T22:22:43.391Z
txExpired-total	0	2019-10-19T22:22:43.391Z
queueLength-average	0	2019-10-19T22:22:43.391Z
queueLength-value	0	2019-10-19T22:22:43.391Z
serverLoad-average	0	2019-10-19T22:22:43.391Z
serverLoad-value	0	2019-10-19T22:22:43.391Z
txTimeInQueue-average	0	2019-10-19T22:22:43.391Z
txInjected-average	0	2019-10-19T22:22:44.394Z
txInjected-total	0	2019-10-19T22:22:44.394Z
txApplied-average	0	2019-10-19T22:22:44.394Z
txApplied-total	0	2019-10-19T22:22:44.394Z
txRejected-average	0	2019-10-19T22:22:44.394Z
txRejected-total	0	2019-10-19T22:22:44.394Z
txExpired-average	0	2019-10-19T22:22:44.394Z
txExpired-total	0	2019-10-19T22:22:44.394Z
queueLength-average	0	2019-10-19T22:22:44.394Z
queueLength-value	0	2019-10-19T22:22:44.394Z
serverLoad-average	0	2019-10-19T22:22:44.394Z
serverLoad-value	0	2019-10-19T22:22:44.394Z
txTimeInQueue-average	0	2019-10-19T22:22:44.394Z
txInjected-average	0	2019-10-19T22:22:45.394Z
txInjected-total	0	2019-10-19T22:22:45.394Z
txApplied-average	0	2019-10-19T22:22:45.394Z
txApplied-total	0	2019-10-19T22:22:45.394Z
txRejected-average	0	2019-10-19T22:22:45.394Z
txRejected-total	0	2019-10-19T22:22:45.394Z
txExpired-average	0	2019-10-19T22:22:45.394Z
txExpired-total	0	2019-10-19T22:22:45.394Z
queueLength-average	0	2019-10-19T22:22:45.394Z
queueLength-value	0	2019-10-19T22:22:45.394Z
serverLoad-average	0	2019-10-19T22:22:45.394Z
serverLoad-value	0	2019-10-19T22:22:45.394Z
txTimeInQueue-average	0	2019-10-19T22:22:45.394Z
txInjected-average	0	2019-10-19T22:22:46.400Z
txInjected-total	0	2019-10-19T22:22:46.400Z
txApplied-average	0	2019-10-19T22:22:46.400Z
txApplied-total	0	2019-10-19T22:22:46.400Z
txRejected-average	0	2019-10-19T22:22:46.400Z
txRejected-total	0	2019-10-19T22:22:46.400Z
txExpired-average	0	2019-10-19T22:22:46.400Z
txExpired-total	0	2019-10-19T22:22:46.400Z
queueLength-average	0	2019-10-19T22:22:46.400Z
queueLength-value	0	2019-10-19T22:22:46.400Z
serverLoad-average	0	2019-10-19T22:22:46.400Z
serverLoad-value	0	2019-10-19T22:22:46.400Z
txTimeInQueue-average	0	2019-10-19T22:22:46.400Z
txInjected-average	0	2019-10-19T22:22:47.400Z
txInjected-total	0	2019-10-19T22:22:47.400Z
txApplied-average	0	2019-10-19T22:22:47.400Z
txApplied-total	0	2019-10-19T22:22:47.400Z
txRejected-average	0	2019-10-19T22:22:47.400Z
txRejected-total	0	2019-10-19T22:22:47.400Z
txExpired-average	0	2019-10-19T22:22:47.400Z
txExpired-total	0	2019-10-19T22:22:47.400Z
queueLength-average	0	2019-10-19T22:22:47.400Z
queueLength-value	0	2019-10-19T22:22:47.400Z
serverLoad-average	0	2019-10-19T22:22:47.400Z
serverLoad-value	0	2019-10-19T22:22:47.400Z
txTimeInQueue-average	0	2019-10-19T22:22:47.400Z
txInjected-average	0	2019-10-19T22:22:48.402Z
txInjected-total	0	2019-10-19T22:22:48.402Z
txApplied-average	0	2019-10-19T22:22:48.402Z
txApplied-total	0	2019-10-19T22:22:48.402Z
txRejected-average	0	2019-10-19T22:22:48.402Z
txRejected-total	0	2019-10-19T22:22:48.402Z
txExpired-average	0	2019-10-19T22:22:48.402Z
txExpired-total	0	2019-10-19T22:22:48.402Z
queueLength-average	0	2019-10-19T22:22:48.402Z
queueLength-value	0	2019-10-19T22:22:48.402Z
serverLoad-average	0	2019-10-19T22:22:48.402Z
serverLoad-value	0	2019-10-19T22:22:48.402Z
txTimeInQueue-average	0	2019-10-19T22:22:48.402Z
txInjected-average	0	2019-10-19T22:22:49.402Z
txInjected-total	0	2019-10-19T22:22:49.402Z
txApplied-average	0	2019-10-19T22:22:49.402Z
txApplied-total	0	2019-10-19T22:22:49.402Z
txRejected-average	0	2019-10-19T22:22:49.402Z
txRejected-total	0	2019-10-19T22:22:49.402Z
txExpired-average	0	2019-10-19T22:22:49.402Z
txExpired-total	0	2019-10-19T22:22:49.402Z
queueLength-average	0	2019-10-19T22:22:49.402Z
queueLength-value	0	2019-10-19T22:22:49.402Z
serverLoad-average	0	2019-10-19T22:22:49.402Z
serverLoad-value	0	2019-10-19T22:22:49.402Z
txTimeInQueue-average	0	2019-10-19T22:22:49.402Z
txInjected-average	0	2019-10-19T22:22:50.402Z
txInjected-total	0	2019-10-19T22:22:50.402Z
txApplied-average	0	2019-10-19T22:22:50.402Z
txApplied-total	0	2019-10-19T22:22:50.402Z
txRejected-average	0	2019-10-19T22:22:50.402Z
txRejected-total	0	2019-10-19T22:22:50.402Z
txExpired-average	0	2019-10-19T22:22:50.402Z
txExpired-total	0	2019-10-19T22:22:50.402Z
queueLength-average	0	2019-10-19T22:22:50.402Z
queueLength-value	0	2019-10-19T22:22:50.402Z
serverLoad-average	0	2019-10-19T22:22:50.402Z
serverLoad-value	0	2019-10-19T22:22:50.402Z
txTimeInQueue-average	0	2019-10-19T22:22:50.402Z
txInjected-average	0	2019-10-19T22:22:51.402Z
txInjected-total	0	2019-10-19T22:22:51.402Z
txApplied-average	0	2019-10-19T22:22:51.402Z
txApplied-total	0	2019-10-19T22:22:51.402Z
txRejected-average	0	2019-10-19T22:22:51.402Z
txRejected-total	0	2019-10-19T22:22:51.402Z
txExpired-average	0	2019-10-19T22:22:51.402Z
txExpired-total	0	2019-10-19T22:22:51.402Z
queueLength-average	0	2019-10-19T22:22:51.402Z
queueLength-value	0	2019-10-19T22:22:51.402Z
serverLoad-average	0	2019-10-19T22:22:51.402Z
serverLoad-value	0	2019-10-19T22:22:51.402Z
txTimeInQueue-average	0	2019-10-19T22:22:51.402Z
txInjected-average	0	2019-10-19T22:22:52.407Z
txInjected-total	0	2019-10-19T22:22:52.407Z
txApplied-average	0	2019-10-19T22:22:52.407Z
txApplied-total	0	2019-10-19T22:22:52.407Z
txRejected-average	0	2019-10-19T22:22:52.407Z
txRejected-total	0	2019-10-19T22:22:52.407Z
txExpired-average	0	2019-10-19T22:22:52.407Z
txExpired-total	0	2019-10-19T22:22:52.407Z
queueLength-average	0	2019-10-19T22:22:52.407Z
queueLength-value	0	2019-10-19T22:22:52.407Z
serverLoad-average	0	2019-10-19T22:22:52.407Z
serverLoad-value	0	2019-10-19T22:22:52.407Z
txTimeInQueue-average	0	2019-10-19T22:22:52.407Z
txInjected-average	0	2019-10-19T22:22:53.408Z
txInjected-total	0	2019-10-19T22:22:53.408Z
txApplied-average	0	2019-10-19T22:22:53.408Z
txApplied-total	0	2019-10-19T22:22:53.408Z
txRejected-average	0	2019-10-19T22:22:53.408Z
txRejected-total	0	2019-10-19T22:22:53.408Z
txExpired-average	0	2019-10-19T22:22:53.408Z
txExpired-total	0	2019-10-19T22:22:53.408Z
queueLength-average	0	2019-10-19T22:22:53.408Z
queueLength-value	0	2019-10-19T22:22:53.408Z
serverLoad-average	0	2019-10-19T22:22:53.408Z
serverLoad-value	0	2019-10-19T22:22:53.408Z
txTimeInQueue-average	0	2019-10-19T22:22:53.408Z
txInjected-average	0	2019-10-19T22:22:54.409Z
txInjected-total	0	2019-10-19T22:22:54.409Z
txApplied-average	0	2019-10-19T22:22:54.409Z
txApplied-total	0	2019-10-19T22:22:54.409Z
txRejected-average	0	2019-10-19T22:22:54.409Z
txRejected-total	0	2019-10-19T22:22:54.409Z
txExpired-average	0	2019-10-19T22:22:54.409Z
